0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,7,28,47,36,13,0,0,0,0
0,0,9,48,60,75,65,50,39,7,0,0
1,14,50,75,111,128,110,73,57,49,22,3
42,48,72,109,160,157,146,108,103,81,57,42
69,78,115,133,201,181,159,136,140,120,94,61
111,129,172,170,230,213,164,156,168,152,128,100
130,163,190,201,241,232,169,173,182,184,146,130
149,179,202,225,258,237,181,184,197,198,160,150
162,186,220,239,282,253,204,202,209,193,164,149
145,192,218,228,280,258,209,228,207,185,157,128
108,154,182,214,254,242,212,224,194,162,113,91
59,102,143,186,216,225,211,199,161,111,51,12
0,30,92,135,164,186,187,161,101,20,0,0
0,0,0,58,94,124,128,98,7,0,0,0
0,0,0,0,0,49,45,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
