0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,70,171,241,268,155,0,0,0,0
0,0,79,282,265,338,396,387,277,87,0,0
0,131,287,378,348,429,478,488,379,270,146,0
177,262,361,452,387,500,560,567,450,355,253,195
244,288,368,474,405,531,620,633,506,413,323,267
309,290,399,472,422,555,667,684,543,422,372,308
331,276,418,462,416,584,677,711,552,437,349,299
269,273,399,435,401,582,664,701,549,460,326,285
228,256,372,429,382,535,640,624,537,423,303,278
189,273,357,391,363,493,611,567,482,367,232,219
50,219,314,348,344,445,548,504,379,296,30,0
0,2,236,285,277,360,435,426,268,8,0,0
0,0,0,97,173,248,323,276,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
