0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0
0,0,0,6,28,47,31,13,0,0,0,0
0,0,9,45,56,74,62,48,34,6,0,0
1,12,47,81,112,119,116,92,56,41,20,2
39,44,92,132,162,166,163,139,100,68,50,37
65,90,141,183,212,218,197,176,141,124,86,59
106,130,194,226,245,248,231,197,184,160,123,97
136,156,217,252,270,259,250,232,224,183,132,120
148,180,227,278,298,267,267,255,245,190,140,131
147,184,230,283,298,270,274,265,240,189,149,131
134,180,217,255,273,269,270,268,220,177,142,117
105,148,188,231,242,259,255,235,196,145,102,79
68,93,145,189,203,228,224,198,149,92,38,1
0,21,85,128,152,178,183,152,88,14,0,0
0,0,0,48,94,114,119,89,8,0,0,0
0,0,0,0,0,52,43,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
