0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,21,157,206,195,135,0,0,0,0
0,0,68,168,219,274,278,283,204,90,0,0
0,108,193,237,275,305,338,358,282,277,98,0
153,166,248,275,306,327,399,421,346,321,180,139
191,238,254,293,332,358,439,468,373,337,229,178
222,281,287,305,342,386,470,473,381,365,280,219
246,313,309,296,337,408,475,466,388,381,323,250
231,317,299,310,337,408,477,458,396,368,318,249
221,275,292,341,307,398,448,418,386,344,272,195
205,246,272,291,271,354,392,419,344,292,193,140
56,168,195,222,254,292,360,400,296,206,5,0
0,6,136,156,228,250,288,317,229,0,0,0
0,0,0,40,178,186,214,226,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
